career,skills
Software Engineer,"python, algorithms, data structures, git, sql, problem solving"
Data Scientist,"python, pandas, numpy, machine learning, statistics, sklearn, sql"
Web Developer,"html, css, javascript, react, git, web"
ML Engineer,"python, sklearn, tensorflow, mlops, docker, model deployment"
Business Analyst,"excel, sql, data visualization, tableau, communication, statistics"
DevOps Engineer,"linux, docker, ci cd, kubernetes, aws, bash, git"
Cybersecurity Analyst,"networking, linux, security, risk, monitoring, scripting"
UI/UX Designer,"figma, design, prototyping, user research, wireframing, css"
Cloud Architect,"aws, azure, gcp, cloud, networking, security, terraform"
Database Admin,"sql, postgres, backup, performance tuning, normalization"
